channel,date,y_true,y_pred,lower_80,upper_80,lower_95,upper_95,model_name,horizon_weeks
email,2024-06-10,,-74.82930968878836,0.0,412.5348802407948,0.0,670.5154252222469,ETS,12
email,2024-06-17,,-476.7441505485515,0.0,10.620039381031631,0.0,268.6005843624838,ETS,12
email,2024-06-24,,-562.705083012124,0.0,0.0,0.0,182.63965189891132,ETS,12
email,2024-07-01,,9.36614517317318,0.0,496.73033510275627,0.0,754.7108800842085,ETS,12
email,2024-07-08,,-425.4533227846441,0.0,61.910867144939004,0.0,319.8914121263912,ETS,12
email,2024-07-15,,-276.6255887012693,0.0,210.73860122831383,0.0,468.719146209766,ETS,12
email,2024-07-22,,15.631605026481367,0.0,502.9957949560645,0.0,760.9763399375166,ETS,12
email,2024-07-29,,-478.26701511572975,0.0,9.097174813853371,0.0,267.07771979530554,ETS,12
email,2024-08-05,,-172.7037995045713,0.0,314.6603904250118,0.0,572.640935406464,ETS,12
email,2024-08-12,,437.1243612496036,0.0,924.4885511791867,0.0,1182.4690961606389,ETS,12
email,2024-08-19,,-523.141073974598,0.0,0.0,0.0,222.20366093643725,ETS,12
email,2024-08-26,,-119.84201727224774,0.0,367.5221726573354,0.0,625.5027176387875,ETS,12
email,2024-06-10,,-74.82930968878836,0.0,412.5348802407948,0.0,670.5154252222469,ETS,26
email,2024-06-17,,-476.7441505485515,0.0,10.620039381031631,0.0,268.6005843624838,ETS,26
email,2024-06-24,,-562.705083012124,0.0,0.0,0.0,182.63965189891132,ETS,26
email,2024-07-01,,9.36614517317318,0.0,496.73033510275627,0.0,754.7108800842085,ETS,26
email,2024-07-08,,-425.4533227846441,0.0,61.910867144939004,0.0,319.8914121263912,ETS,26
email,2024-07-15,,-276.6255887012693,0.0,210.73860122831383,0.0,468.719146209766,ETS,26
email,2024-07-22,,15.631605026481367,0.0,502.9957949560645,0.0,760.9763399375166,ETS,26
email,2024-07-29,,-478.26701511572975,0.0,9.097174813853371,0.0,267.07771979530554,ETS,26
email,2024-08-05,,-172.7037995045713,0.0,314.6603904250118,0.0,572.640935406464,ETS,26
email,2024-08-12,,437.1243612496036,0.0,924.4885511791867,0.0,1182.4690961606389,ETS,26
email,2024-08-19,,-523.141073974598,0.0,0.0,0.0,222.20366093643725,ETS,26
email,2024-08-26,,-119.84201727224774,0.0,367.5221726573354,0.0,625.5027176387875,ETS,26
email,2024-09-02,,-366.03241242689364,0.0,121.33177750268948,0.0,379.31232248414165,ETS,26
email,2024-09-09,,-464.2974305386179,0.0,23.066759390965217,0.0,281.0473043724174,ETS,26
email,2024-09-16,,-973.7642585616834,0.0,0.0,0.0,0.0,ETS,26
email,2024-09-23,,135.5339501835183,0.0,622.8981401131014,0.0,880.8786850945536,ETS,26
email,2024-09-30,,-250.5774710698049,0.0,236.78671885977823,0.0,494.7672638412304,ETS,26
email,2024-10-07,,-608.9538684298507,0.0,0.0,0.0,136.39086648118462,ETS,26
email,2024-10-14,,-828.7421493598209,0.0,0.0,0.0,0.0,ETS,26
